Fecha,Total Probable IgG Only_Amount,Total Probable IgM/IgM and IgG_Amount,SMICRC Probable IgG Only_Amount,SMICRC Probable IgM/IgM and IgG_Amount
2020-12-25,,,,
2021-01-01,,,,
2021-01-08,,,,
2021-01-15,5835,4819,5046,4313
2021-01-22,6411,4682,5610,4178
2021-01-29,7241,4722,6325,4209
2021-02-05,8425,5045,7340,4467
2021-02-12,8837,5109,7680,4510
2021-02-19,8512,4706,7361,4160
2021-02-26,9012,4763,7804,4195
2021-03-05,8853,4278,7690,3757
2021-03-12,9187,4102,7960,3553
2021-03-19,9458,3865,8133,3297
2021-03-26,9979,3924,8643,3371
2021-04-02,9548,3349,9134,3237
2021-04-09,10261,3588,9796,3455
2021-04-16,12467,4327,11874,4173
2021-04-23,13602,4863,13058,4717
2021-04-30,12640,4712,12241,4597
2021-05-07,12771,4760,12531,4684
2021-05-14,11072,4122,10973,4082
