Fecha,<24 horas_Frecuencia,<24 horas_Porciento,<24 horas_Texto,24 a <48 horas_Frecuencia,24 a <48 horas_Porciento,24 a <48 horas_Texto,48 a <72 horas_Frecuencia,48 a <72 horas_Porciento,48 a <72 horas_Texto,> 72 hrs_Frecuencia,> 72 hrs_Porciento,> 72 hrs_Texto
2020-12-25,,,,,,,,,,,,
2021-01-01,7729,54.01,7729 (54.0%),2046,14.3,2046 (14.3%),1389,9.71,1389 (9.7%),3147,21.99,3147 (22.0%)
2021-01-08,6747,53.1,6747 (53.1%),1826,14.37,1826 (14.4%),1335,10.51,1335 (10.5%),2798,22.02,2798 (22.0%)
2021-01-15,6708,56.45,6708 (56.4%),1707,14.36,1707 (14.4%),1239,10.43,1239 (10.4%),2230,18.76,2230 (18.8%)
2021-01-22,7043,62.72,7043 (62.7%),1474,13.13,1474 (13.1%),1037,9.24,1037 (9.2%),1675,14.92,1675 (14.9%)
2021-01-29,7491,66.26,7491 (66.3%),1461,12.92,1461 (12.9%),953,8.43,953 (8.4%),1400,12.38,1400 (12.4%)
2021-02-05,7451,69.0,7451 (69.0%),1337,12.38,1337 (12.4%),812,7.52,812 (7.5%),1198,11.09,1198 (11.1%)
2021-02-12,6963,73.43,6963 (73.4%),890,9.39,890 (9.4%),559,5.9,559 (5.9%),1070,11.28,1070 (11.3%)
2021-02-19,5593,75.65,5593 (75.6%),605,8.18,605 (8.2%),425,5.75,425 (5.8%),770,10.42,770 (10.4%)
2021-02-26,4694,77.82,4694 (77.8%),447,7.41,447 (7.4%),353,5.85,353 (5.8%),538,8.92,538 (8.9%)
2021-03-05,3628,81.04,3628 (81.0%),353,7.88,353 (7.9%),241,5.38,241 (5.4%),255,5.7,255 (5.7%)
2021-03-12,3319,81.25,3319 (81.2%),331,8.1,331 (8.1%),211,5.17,211 (5.2%),224,5.48,224 (5.5%)
2021-03-19,3357,82.44,3357 (82.4%),351,8.62,351 (8.6%),212,5.21,212 (5.2%),152,3.73,152 (3.7%)
2021-03-26,3629,81.55,3629 (81.6%),414,9.3,414 (9.3%),223,5.01,223 (5.0%),184,4.13,184 (4.1%)
2021-04-02,4383,82.42,4383 (82.4%),482,9.06,482 (9.1%),274,5.15,274 (5.2%),179,3.37,179 (3.4%)
2021-04-09,8767,78.64,8767 (78.6%),1214,10.89,1214 (10.9%),470,4.22,470 (4.2%),697,6.25,697 (6.2%)
2021-04-16,12556,74.61,12556 (74.6%),2163,12.85,2163 (12.8%),949,5.64,949 (5.6%),1161,6.9,1161 (6.9%)
2021-04-23,15286,71.92,15286 (71.9%),2835,13.34,2835 (13.3%),1249,5.88,1249 (5.9%),1884,8.86,1884 (8.9%)
2021-04-30,15013,71.01,15013 (71.0%),2837,13.42,2837 (13.4%),1284,6.07,1284 (6.1%),2009,9.5,2009 (9.5%)
2021-05-07,13748,71.09,13748 (71.1%),2563,13.25,2563 (13.2%),1230,6.36,1230 (6.4%),1797,9.29,1797 (9.3%)
2021-05-14,10504,74.1,10504 (74.1%),1577,11.13,1577 (11.1%),777,5.48,777 (5.5%),1317,9.29,1317 (9.3%)
